# name	objID	ra	dec	type	cModelMag_u	cModelMag_g	cModelMag_r	cModelMag_i	cModelMag_z	fracDeV_u	fracDeV_g	fracDeV_r	fracDeV_i	fracDeV_z	extinction_u	extinction_g	extinction_r	extinction_i	extinction_z
8774-6103	1.23767125583869E+018	79.32770108	25.76819284	STAR	19.245575	15.905418	13.682131	14.450284	12.330818	1	0	1	1	1	4.982149	3.665817	2.658756	2.016055	1.429408
8099-6103	1.23766509792605E+018	141.0727742	26.69778226	STAR	16.768213	15.32631	14.875049	14.719232	14.694314	0	1	0	0.708422	0	0.138873	0.102182	0.074111	0.056196	0.039844
8100-6103	1.23766487887538E+018	140.51965312	28.52149287	STAR	17.864677	16.726915	16.360195	16.221237	16.200895	0	1	1	1	1	0.104588	0.076955	0.055814	0.042322	0.030007
8719-6103	1.23766354689963E+018	119.6234487	47.6531992	GALAXY	16.470346	15.147594	14.447354	14.033258	13.673125	0	0.326002	0.539325	0.609865	0.769176	0.239907	0.176521	0.128028	0.09708	0.068831
8461-6103	1.23765777500976E+018	144.63992346	44.62672454	GALAXY	16.829954	15.533601	14.856217	14.491855	14.138743	0.487425	0.558586	0.604482	0.632094	0.700155	0.069146	0.050877	0.0369	0.02798	0.019838
8718-6103	1.23765125148187E+018	122.2562754	44.86855038	GALAXY	17.850945	15.420938	14.516196	14.109963	13.887805	1	1	1	1	1	0.209318	0.154014	0.111704	0.084702	0.060055
8721-6103	1.2376609360914E+018	133.12119953	56.11274992	GALAXY	17.070778	15.412695	14.541123	14.156936	13.993077	0.964852	1	1	1	1	0.248618	0.182931	0.132677	0.100605	0.07133
8725-6103	1.23765439164318E+018	125.73616136	45.48594645	GALAXY	17.434	15.351257	14.417162	14.02141	13.788322	1	1	1	1	1	0.243766	0.179361	0.130087	0.098641	0.069938
8458-6103	1.23765763005481E+018	146.29355073	46.03667994	GALAXY	19.446848	17.655537	16.511282	16.123646	15.901059	1	1	1	1	1	0.082667	0.060825	0.044116	0.033452	0.023718
10001-6103	1.23765127350033E+018	134.00801297	57.39104553	GALAXY	17.218573	15.639029	14.770104	14.37372	14.124004	1	1	1	1	1	0.177357	0.130498	0.094648	0.071769	0.050885
8456-6103	1.23765787540718E+018	152.13007826	46.05155309	GALAXY	18.14476	16.203562	15.311226	14.918003	14.709851	1	1	1	1	1	0.036132	0.026586	0.019282	0.014621	0.010366
8715-6103	1.23766378795519E+018	118.87238085	52.01058432	GALAXY	17.940344	16.358528	15.495024	15.088457	14.613496	0.370905	0.211076	0.256476	0.273461	0.419294	0.261911	0.192711	0.13977	0.105984	0.075144
8803-6103	1.23764679331132E+018	103.71584747	0.38232077	STAR	24.355165	24.875626	24.644815	21.778412	21.310234	0	0	1	0	0.775617	6.922485	5.093498	3.69423	2.801223	1.986102
8794-6103	1.23764872228078E+018	125.85137773	0.70917005	STAR	14.949923	14.928932	15.747046	14.973643	13.53903	1	0.747893	0.698227	0.876	1	0.207573	0.15273	0.110773	0.083995	0.059554
8813-6103	1.23766714232924E+018	137.87747498	23.40295172	STAR	16.855539	15.76028	15.372277	15.22773	15.163002	0	0	1	1	1	0.284568	0.209382	0.151861	0.115152	0.081644
8801-6103	1.23766829337667E+018	178.05638208	19.4967657	STAR	18.53245	16.004856	14.769487	15.073839	13.890984	0	0	0	1	0	0.188688	0.138835	0.100695	0.076354	0.054136
8795-6103	1.2376536222991E+018	126.45161736	1.37778541	STAR	16.883871	14.641303	15.468964	15.577937	13.259225	1	0.427168	0.751209	1	0.99234	0.203789	0.149946	0.108753	0.082464	0.058468
8889-6103	1.23766743010194E+018	160.18155443	25.13253125	STAR	17.065737	15.370646	14.608381	14.816113	14.126639	0	0	0	0	0	0.136053	0.100107	0.072606	0.055055	0.039034
8455-6103	1.23766184984943E+018	156.35609415	40.3483071	GALAXY	19.192297	16.945871	15.946093	15.52831	15.301242	0.571654	1	1	1	1	0.065441	0.048151	0.034923	0.026481	0.018775
8568-6103	1.23766138277606E+018	155.37675873	38.30896004	GALAXY	17.83885	16.05397	15.281201	14.858156	14.499127	0	0.0007709248	0.027995	0.037199	0.116981	0.089918	0.066161	0.047985	0.036386	0.025798
8462-6103	1.23766076484374E+018	144.07875356	37.24671064	GALAXY	16.810936	15.034845	14.265761	13.837936	13.517069	0.958171	0.936644	0.941966	0.950397	0.974194	0.076356	0.056182	0.040748	0.030898	0.021907
8255-6103	1.23766185200006E+018	165.01158514	43.90508356	GALAXY	17.765213	16.38249	15.549616	15.18343	14.920396	1	1	1	1	1	0.060432	0.044466	0.03225	0.024454	0.017338
8449-6103	1.23766754927254E+018	167.86183829	22.97078445	GALAXY	16.410067	14.515737	13.656275	13.237181	12.903275	0.920782	0.919087	0.852943	0.836001	0.814447	0.069397	0.051061	0.037034	0.028082	0.01991
8338-6103	1.23766754927444E+018	172.51245456	23.46364688	GALAXY	18.277952	16.860367	16.12429	15.707691	15.319083	0.024379	0.07869	0.127235	0.111212	0.202148	0.091532	0.067348	0.048846	0.037039	0.026261
8262-6103	1.23766219613707E+018	184.73856975	43.61227595	GALAXY	16.265024	14.660281	13.873442	13.463274	13.111651	0.766191	0.807971	0.811488	0.820173	0.819387	0.065487	0.048185	0.034948	0.0265	0.018789
8450-6103	1.23766773450356E+018	171.95482269	21.38611976	GALAXY	16.920408	15.165647	14.435049	13.981952	13.613996	0.582519	0.649227	0.694897	0.738585	0.808647	0.118229	0.086992	0.063094	0.047842	0.033921
8796-6103	1.23766219452934E+018	193.771797	42.12439521	STAR	17.705805	15.142069	13.684	13.97353	12.278467	0.687647	0	1	1	0	0.064555	0.047499	0.03445	0.026123	0.018521
8454-6103	1.23765820557564E+018	152.45855108	45.85093034	GALAXY	17.830631	16.542774	15.590194	15.165898	14.969346	1	1	1	1	1	0.046483	0.034202	0.024806	0.01881	0.013336
8905-6103	1.23764974448063E+018	82.23479974	3.9707912	STAR	17.021	15.680475	15.64268	15.676008	15.71189	1	1	1	0	1	0.750135	0.551942	0.400315	0.303546	0.215218
8270-6103	1.23767114255539E+018	176.10528634	1.79020811	STAR	17.995794	16.321379	15.671103	15.44581	15.337561	1	1	0.139632	0	1	0.118754	0.087378	0.063374	0.048055	0.034071
8906-6103	1.23764974501731E+018	81.79317355	4.37227898	GALAXY	23.825407	22.667551	21.813467	21.060297	19.616558	1	0	0	0	0	0.606541	0.446287	0.323685	0.24544	0.17402
8797-6103	1.23766219560341E+018	194.71504138	42.73658538	STAR	18.677284	16.123177	14.712076	13.767466	13.269776	1	1	0	0	1	0.063629	0.046818	0.033956	0.025748	0.018255
8802-6103	1.23766829498742E+018	178.26554093	20.75990555	STAR	17.977875	15.424604	14.355013	15.844939	13.663615	1	0	0	1	0	0.204564	0.150516	0.109167	0.082778	0.058691
8798-6103	1.23766502382869E+018	177.66911826	33.87578413	STAR	16.186308	14.54581	13.837566	13.521508	13.39098	1	0.863889	0	0	0	0.105843	0.077878	0.056484	0.04283	0.030367
8914-6103	1.23766553225298E+018	224.17806751	22.26620956	STAR	15.261738	15.505265	14.97462	14.370043	11.817577	1	0.515854	0.736002	1	0.28565	0.209665	0.15427	0.111889	0.084842	0.060154
8716-6103	1.23766378849272E+018	119.6272503	53.38838984	GALAXY	17.295563	15.762817	14.973985	14.536865	14.249134	0.395697	0.70189	0.880645	0.909286	1	0.231003	0.169969	0.123276	0.093476	0.066276
8717-6103	1.23765462839932E+018	118.29130387	35.93253242	GALAXY	19.103434	17.342316	16.317755	15.878426	15.605791	1	1	1	1	0.987272	0.230352	0.169491	0.122929	0.093213	0.066089
8239-6103	1.23766378849042E+018	115.67198365	48.8261223	GALAXY	18.972822	16.846478	15.825801	15.366531	15.032094	1	1	1	1	1	0.331068	0.243597	0.176677	0.133969	0.094985
8724-6103	1.23765170245206E+018	130.05794221	54.69822298	GALAXY	17.901463	16.755558	16.349451	16.065298	15.883237	0.032342	0.289208	0.316889	0.297403	0.33824	0.157053	0.115558	0.083812	0.063552	0.045059
8714-6103	1.23766354797298E+018	117.77597147	47.33344342	GALAXY	18.58392	16.077917	15.141624	14.73646	14.525123	1	1	1	1	1	0.313981	0.231024	0.167558	0.127054	0.090083
8711-6103	1.2376637890292E+018	118.14550851	52.84694646	GALAXY	18.052153	17.041494	16.622536	16.347132	16.170897	0.029753	0.100348	0.184911	0.220983	0.341344	0.244451	0.179865	0.130453	0.098919	0.070135
8241-6103	1.23766710957428E+018	126.13715882	19.26494087	GALAXY	21.292423	18.263977	17.228798	16.757969	16.572039	1	0	0	0	0.370634	0.279355	0.205547	0.14908	0.113043	0.080149
8712-6103	1.2376639173403E+018	120.22974669	53.67074526	GALAXY	17.857716	16.797041	16.293793	15.997315	15.778688	0	0	0	0	0	0.1796	0.132148	0.095845	0.072676	0.051528
8720-6103	1.23766353079455E+018	120.60695788	50.23699859	GALAXY	18.31414	16.805902	16.344755	16.014107	15.920981	0	0	0	0	0	0.211963	0.155961	0.113116	0.085772	0.060814
8894-6103	1.23766772751237E+018	84.50417973	-1.8297743	STAR	14.773037	13.545669	15.405421	13.639793	13.6877	1	0.262517	0.713904	0.677984	1	0.645074	0.47464	0.344248	0.261033	0.185076
8890-6103	1.23765818731587E+018	87.16329786	-0.3851119	STAR	19.771311	17.188833	15.767387	15.067087	14.684958	1	0	0	1	1	4.1952	3.086788	2.238796	1.697612	1.203628
8895-6103	1.23766772697557E+018	84.22106658	-2.00593158	STAR	19.240282	16.847702	15.388064	14.97409	14.157958	1	1	0	0	1	0.574444	0.42267	0.306556	0.232452	0.164811
8924-6103	1.23765362229884E+018	125.84642819	1.29678722	STAR	15.212069	14.82624	15.038167	14.912809	12.777492	1	0.622396	0.781099	1	0.913599	0.234524	0.172561	0.125155	0.094902	0.067286
8921-6103	1.23765080427246E+018	162.84151643	-2.5787757	STAR	17.197998	14.594808	13.52209	13.143072	12.929028	0	0	1	0	0	0.214179	0.157591	0.114298	0.086669	0.061449
8591-6103	1.23766138653075E+018	211.98106874	53.84683408	GALAXY	18.950806	17.442938	16.726164	16.377621	16.217937	0	0.11558	0.169948	0.254479	0.215439	0.068107	0.050113	0.036346	0.02756	0.01954
8928-6103	1.23766181334011E+018	165.07076928	12.30105743	STAR	16.30566	15.124326	14.812806	14.656627	14.635399	1	1	0	1	1	0.091016	0.066969	0.048571	0.03683	0.026113
8896-6103	1.23766772804964E+018	84.94994898	-2.67558561	STAR	19.450726	17.289173	15.846901	14.581794	13.884294	0	0	0	0	0	1.470981	1.082333	0.784998	0.595241	0.422033
8925-6103	1.23764872120775E+018	127.44319134	-0.06482346	STAR	15.903286	15.496782	14.802813	13.908139	12.823813	1	0.850054	0.540113	0.863572	0.918683	0.253541	0.186553	0.135304	0.102597	0.072742
8911-6103	1.23765124987893E+018	142.82921282	56.74436131	STAR	17.956297	15.533995	14.571521	14.183576	13.977314	0	1	0	1	1	0.119103	0.087635	0.06356	0.048196	0.034171
8592-6103	1.23766138814385E+018	221.22602981	52.44690156	GALAXY	18.876221	17.293116	16.286917	15.887049	15.579791	1	1	1	1	1	0.082519	0.060716	0.044037	0.033392	0.023675
8926-6103	1.23766711225778E+018	137.70406641	23.13398159	STAR	17.030355	14.917273	15.861858	16.466356	13.659572	1	1	0.648896	0	1	0.315551	0.232179	0.168396	0.127689	0.090533
8916-6103	1.23767176317495E+018	191.97053802	-2.31317094	STAR	16.496737	15.535304	15.3469	15.278208	15.279926	0	1	0	0	0	0.131867	0.097027	0.070372	0.053361	0.037833
8920-6103	1.23765153926264E+018	242.73620095	52.73020115	STAR	17.220516	16.062201	15.534549	15.293196	15.193341	0	1	0	0	0	0.11665	0.08583	0.062251	0.047203	0.033468
8634-6103	1.23766226325419E+018	240.41638606	5.35658587	STAR	17.170235	15.766491	15.178015	14.928703	14.798282	0	0	0	0	0	0.27231	0.200363	0.14532	0.110192	0.078127
8923-6103	1.23767465529318E+018	222.538736	-6.53628813	GALAXY	24.426855	22.773245	21.566513	20.199339	19.798744	1	1	0	0	0	0.41003	0.301696	0.218815	0.165921	0.11764
8635-6103	1.23766226915341E+018	240.87314709	5.45108957	STAR	16.619068	14.789095	14.025626	15.325761	13.521868	1	0	0	0	0	0.274247	0.201788	0.146354	0.110976	0.078683
8891-6103	1.23765818785242E+018	86.36726721	0.06774035	STAR	19.668406	17.172785	15.699365	15.094943	14.123815	0	0	0	0	1	3.873011	2.849725	2.066858	1.567236	1.11119
8930-6103	1.23767112858993E+018	177.55770184	2.11870428	STAR	14.014221	14.818816	14.508552	14.580396	11.997067	0.923946	0.750987	0.818108	0.733179	0.726966	0.141525	0.104132	0.075526	0.057269	0.040604
8640-6103	1.23766226915341E+018	240.87314709	5.45108957	STAR	16.619068	14.789095	14.025626	15.325761	13.521868	1	0	0	0	0	0.274247	0.201788	0.146354	0.110976	0.078683
8929-6103	1.23767126710596E+018	190.37604946	-3.04603549	STAR	16.845152	15.470957	14.905521	14.677514	14.571882	0	0	1	0	0	0.157849	0.116144	0.084237	0.063875	0.045288
8918-6103	1.2376618176337E+018	191.82497182	12.90063594	STAR	20.4695	17.100317	15.701062	15.110144	14.785522	1	1	1	0	1	0.133935	0.098548	0.071475	0.054198	0.038427
8949-6103	1.23766732433457E+018	194.90618546	28.16613324	GALAXY	18.74868	17.106947	16.376358	15.990066	15.835297	0.780916	0.681394	0.744047	0.763413	0.708881	0.063189	0.046494	0.033721	0.02557	0.018129
8952-6103	1.23766544098276E+018	204.67416711	27.74241457	GALAXY	16.875582	15.363546	14.727394	14.352944	14.021996	0.759939	0.742872	0.849105	0.911112	0.957085	0.079815	0.058727	0.042594	0.032298	0.0229
8600-6103	1.23765932602799E+018	244.41973939	41.89916626	GALAXY	17.734852	16.247391	15.48636	15.076361	14.740876	0.382373	0.614829	0.656568	0.682527	0.762988	0.052023	0.038278	0.027763	0.021052	0.014926
8934-6103	1.23766544097909E+018	195.31564349	28.87217769	GALAXY	18.512377	16.858299	16.139551	15.785856	15.541731	0.050099	0.182777	0.222166	0.181901	0.128253	0.047047	0.034617	0.025107	0.019038	0.013498
8333-6103	1.2376614343175E+018	214.46466448	43.41825921	GALAXY	18.496845	16.857155	15.911071	15.496321	15.254049	1	1	1	1	1	0.040452	0.029764	0.021587	0.016369	0.011606
8547-6103	1.23766138760548E+018	215.92405178	53.76611596	GALAXY	17.482422	16.430088	15.986745	15.659982	15.387281	0.055833	0.127961	0.225992	0.325875	0.472688	0.051666	0.038015	0.027572	0.020907	0.014823
8978-6103	1.23765512984048E+018	250.45318219	41.81873771	GALAXY	16.853098	15.326897	14.627861	14.318582	14.159232	0.743271	0.925457	1	1	1	0.052867	0.038899	0.028213	0.021393	0.015168
8972-6103	1.23767059547796E+018	132.01889142	12.31222828	STAR	18.687075	16.166815	15.01125	14.578219	14.348717	1	0.954743	1	0	1	0.120773	0.088864	0.064452	0.048872	0.034651
8979-6103	1.23765932977619E+018	242.0340064	42.99060953	GALAXY	19.461309	17.522615	16.670103	16.268124	16.048389	0.599507	0.724714	0.968895	1	1	0.063571	0.046775	0.033925	0.025724	0.018239
8973-6103	1.2376705954779E+018	131.91275742	12.27767006	STAR	20.21047	17.466658	16.073067	15.343372	14.981474	0	1	0	1	0	0.122507	0.090139	0.065377	0.049573	0.035148
8962-6103	1.23765546484938E+018	216.64661998	58.71534496	STAR	17.366575	16.291037	16.301678	16.355217	16.429134	0	1	0	1	1	0.070661	0.051992	0.037709	0.028593	0.020273
8963-6103	1.23765546484931E+018	216.25548207	58.82536484	STAR	15.859997	14.772132	14.689322	14.682451	14.71242	0	1	0	0	0	0.06362	0.046811	0.033951	0.025744	0.018253
8595-6103	1.23766138653265E+018	218.28020475	52.00194612	GALAXY	17.242855	15.74719	15.165209	14.771914	14.5207	0.211766	0.225034	0.337045	0.431574	0.65141	0.047716	0.035109	0.025464	0.019309	0.01369
8816-6103	1.23766502382869E+018	177.66911826	33.87578413	STAR	16.186308	14.54581	13.837566	13.521508	13.39098	1	0.863889	0	0	0	0.105843	0.077878	0.056484	0.04283	0.030367
8799-6103	1.2376651296148E+018	176.82538222	35.75924294	GALAXY	15.65609	15.43416	13.932007	14.832792	13.032881	0	0.329919	0	0.490377	1	0.098061	0.072152	0.052331	0.039681	0.028134
8966-6103	1.23766861012317E+018	242.10051703	51.15652133	STAR	16.697405	15.695766	15.285779	15.101586	15.056964	0	0	0.31652	0	1	0.108564	0.07988	0.057936	0.043931	0.031148
8967-6103	1.23765494945179E+018	243.08982262	52.20688364	STAR	16.637726	14.604858	13.865125	14.96681	13.466105	0	0	0	1	1	0.1339	0.098522	0.071457	0.054183	0.038417
8969-6103	1.23766222516381E+018	243.72155783	23.61195312	STAR	18.882973	17.345415	16.652792	16.356493	16.196789	0.827326	1	1	0	1	0.349837	0.257407	0.186693	0.141563	0.10037
8959-6103	1.23766732432081E+018	159.52055382	26.15081503	STAR	17.400043	16.374813	15.917412	15.753613	15.632397	1	0	0	0	1	0.141823	0.104352	0.075685	0.057389	0.04069
8917-6103	1.23767126710596E+018	190.37604946	-3.04603549	STAR	16.845152	15.470957	14.905521	14.677514	14.571882	0	0	1	0	0	0.157849	0.116144	0.084237	0.063875	0.045288
8975-6103	1.23767126280883E+018	132.04089368	12.04704545	STAR	17.849604	15.51507	14.508006	14.121098	13.951374	0	0	1	1	0	0.121477	0.089382	0.064827	0.049156	0.034852
8974-6103	1.23766778173863E+018	131.89495749	13.15100525	STAR	16.442003	14.779296	14.776897	13.93059	13.813667	0	0.364929	1	0.959505	1	0.159474	0.117339	0.085104	0.064532	0.045754
8987-6103	1.23766483754176E+018	137.26810363	28.25667434	GALAXY	19.177618	17.447721	17.10631	16.964079	16.441298	0	0.025715	0	0	0.195425	0.139128	0.102369	0.074247	0.056299	0.039917
8942-6103	1.23766034392751E+018	124.33715472	28.31832942	GALAXY	17.374271	16.285067	15.871243	15.672256	15.478649	0.214713	0.16658	0.150549	0.119117	0.145034	0.15168	0.111604	0.080945	0.061378	0.043518
8943-6103	1.23766466950955E+018	156.57422222	37.11549254	GALAXY	18.055719	16.825699	16.458675	16.267151	16.182802	0	0	0.020003	0.039863	0.02697	0.0631	0.046428	0.033674	0.025534	0.018104
8948-6103	1.23765785553201E+018	165.19824685	49.90191382	GALAXY	17.941113	16.389191	15.657247	15.299825	15.024005	1	1	1	1	1	0.072193	0.053119	0.038526	0.029213	0.020713
8939-6103	1.23766108749385E+018	125.32218194	25.49184864	GALAXY	18.200186	16.389353	15.438782	15.040302	14.758624	1	1	1	1	1	0.162543	0.119598	0.086742	0.065774	0.046635
8946-6103	1.23765861144402E+018	169.35790719	47.85415191	GALAXY	17.158909	16.156574	15.823777	15.66108	15.546435	0	0	0	0	0	0.072265	0.053172	0.038565	0.029242	0.020733
8947-6103	1.23765785607012E+018	169.34624099	51.01346315	GALAXY	17.430059	16.157547	15.659184	15.352082	15.085488	0	0.156853	0.251575	0.290227	0.301558	0.076405	0.056218	0.040774	0.030918	0.021921
8945-6103	1.23766135807718E+018	171.24463519	47.14352424	GALAXY	16.898657	15.378066	14.630745	14.169752	13.902894	0.801013	0.920761	0.996229	1	1	0.112175	0.082537	0.059863	0.045392	0.032184
8980-6103	1.2376582055974E+018	224.75248629	43.40773379	GALAXY	16.321014	14.603951	13.752244	13.226002	13.029034	0.87463	0.845917	0.88327	0.951954	0.945602	0.093868	0.069067	0.050093	0.037984	0.026931
8597-6103	1.2376613859984E+018	226.24756052	48.64662654	GALAXY	16.405474	15.16894	14.554971	14.185079	13.950082	0.170458	0.208427	0.234999	0.294171	0.298607	0.109214	0.080358	0.058283	0.044194	0.031334
9013-6103	1.23767126656962E+018	190.93662763	-1.80781978	STAR	18.28668	15.635111	14.525042	14.065704	13.838118	1	0	0.993488	0.626602	0	0.157481	0.115873	0.084041	0.063726	0.045182
8912-6103	1.23766510328277E+018	209.46891276	33.27318447	STAR	14.565717	13.551869	15.204085	14.029633	12.950281	1	0.363595	0.630378	0.887126	1	0.08633	0.063521	0.046071	0.034934	0.024769
9017-6103	1.23765546859902E+018	228.70079623	1.59858463	STAR	17.022814	14.835115	16.349672	14.656449	13.446685	0.22573	0	0	0.099072	0	0.242786	0.17864	0.129564	0.098245	0.069657
8968-6103	1.23767465529298E+018	222.17481454	-6.05075391	STAR	19.298206	16.871296	15.413124	14.495177	14.001851	0	0.730266	0	0	0	0.314518	0.231419	0.167844	0.127271	0.090237
9015-6103	1.23767465529285E+018	221.86176569	-6.05385204	STAR	17.708426	16.401567	16.484125	16.56423	16.618185	1	1	0	1	1	0.306976	0.22587	0.16382	0.124219	0.088073
8950-6103	1.2376673237977E+018	194.94644894	27.71030514	GALAXY	16.083252	14.567596	13.843119	13.397952	13.138909	0.893488	0.864393	0.858818	0.921882	0.916108	0.041295	0.030384	0.022037	0.01671	0.011848
8931-6103	1.2376673237977E+018	194.80622819	27.77459549	GALAXY	17.096157	15.180697	14.424862	14.008037	13.78175	0.948935	0.985471	0.984148	1	1	0.056433	0.041523	0.030116	0.022836	0.016191
9029-6103	1.23765534889535E+018	246.70438839	42.67892902	GALAXY	18.4202	16.629057	15.776319	15.458039	15.03918	0.328847	0.273003	0.385215	0.39081	0.459808	0.055192	0.040609	0.029453	0.022334	0.015835
9042-6103	1.2376648541877E+018	232.15837037	28.33327482	GALAXY	18.455597	16.557228	15.604639	15.123734	14.797739	0.553995	0.928698	0.93082	0.926694	0.847427	0.141056	0.103788	0.075276	0.057079	0.04047
9026-6103	1.23765125259008E+018	249.39092044	44.87076191	GALAXY	17.569704	15.889084	15.095887	14.692731	14.264977	0	0.23296	0.356876	0.396338	0.518196	0.063439	0.046678	0.033855	0.025671	0.018201
9049-6103	1.23766146384501E+018	248.03347649	25.65340705	GALAXY	18.475595	17.285299	16.766912	16.489439	16.296223	0.270195	0.101396	0.136866	0.100669	0.041101	0.172298	0.126775	0.091948	0.069721	0.049433
9002-6103	1.23766269756709E+018	222.03491256	31.71035446	GALAXY	17.162373	15.381523	14.668509	14.257667	13.986254	0.385937	0.638431	0.782706	0.914015	1	0.073617	0.054167	0.039286	0.02979	0.021121
8613-6103	1.23765537411334E+018	253.73055415	34.71953341	GALAXY	17.191103	15.376015	14.528229	14.182777	14.086348	1	1	1	1	1	0.088535	0.065143	0.047247	0.035826	0.025401
9041-6103	1.23766230727203E+018	237.05682989	29.91498965	GALAXY	18.108601	16.368248	15.48746	15.056058	14.819373	1	1	1	1	1	0.150462	0.110708	0.080295	0.060885	0.043168
8553-6103	1.23765125204607E+018	231.50293918	56.82689698	GALAXY	18.262358	16.47114	15.602183	15.215626	14.96332	1	1	1	1	1	0.066853	0.04919	0.035677	0.027052	0.019181
7443-6104	1.23766230297772E+018	232.15806371	42.44200815	GALAXY	17.634762	15.876296	15.080565	14.650519	14.388149	0.58039	0.749705	0.792796	0.879388	0.952031	0.127127	0.093539	0.067842	0.051443	0.036474
7444-6104	1.23766522676779E+018	182.88992391	32.40307923	STAR	17.880899	16.940634	16.676184	16.586641	16.576338	0	1	0	0	1	0.068736	0.050575	0.036681	0.027814	0.019721
7495-6104	1.23766553224498E+018	204.69277368	26.49877778	GALAXY	19.140066	17.631626	17.040182	16.70912	16.344051	0.094918	0.024299	0.059107	0.088496	0.172614	0.053016	0.039009	0.028292	0.021453	0.015211
7815-6104	1.23765649616994E+018	319.19308002	11.04374569	GALAXY	18.134855	16.901533	16.173183	15.749669	15.751603	1	1	1	1	1	0.405206	0.298147	0.216241	0.163969	0.116256
8115-6104	1.23766778173856E+018	131.78248212	13.06580235	STAR	19.260471	17.259327	16.460615	16.213078	16.062159	0	0	1	1	1	0.158109	0.116335	0.084376	0.06398	0.045362
8120-6104	1.2376712612091E+018	157.36810099	15.57375017	STAR	15.56784	14.320414	15.797932	15.737065	13.781984	0.868687	0.344758	0.764178	0.898178	1	0.1585	0.116623	0.084585	0.064138	0.045475
8098-6104	1.23766219560295E+018	193.417517	43.03006467	STAR	18.79837	17.490713	17.624493	17.765499	17.810064	0	0	0	1	0.719192	0.077053	0.056695	0.04112	0.03118	0.022107
8266-6104	1.2376487045875E+018	207.1876786	0.01227367	STAR	20.354296	17.903927	17.285561	17.014832	16.884777	0	1	1	0	0	0.158228	0.116423	0.084439	0.064028	0.045397
8116-6104	1.23767112483334E+018	132.58926907	11.37461769	STAR	14.609898	14.549992	14.725775	14.006083	13.017329	1	0.886631	0.568441	0.634246	1	0.154045	0.113345	0.082207	0.062335	0.044197
8269-6104	1.23766194918438E+018	193.24853921	11.85268224	STAR	16.531733	14.920835	14.364343	14.202508	14.170059	0	0	0	0	0	0.174586	0.128458	0.093169	0.070647	0.05009
8264-6104	1.23766196635972E+018	195.14781912	41.37829493	STAR	16.703413	15.647294	15.358414	15.260386	15.22476	0.648551	0.54273	0	0.946431	1	0.092641	0.068164	0.049438	0.037488	0.026579
8341-6104	1.23766135593547E+018	190.5988624	46.30430354	GALAXY	17.201406	15.498579	14.752763	14.449659	14.026252	0.97015	0.824835	0.927446	0.9443	0.973746	0.08132	0.059835	0.043397	0.032907	0.023331
8329-6104	1.23766115031011E+018	213.11047863	45.69041354	GALAXY	15.901885	14.954411	14.473677	14.13346	13.781526	0	0	0.226522	0.363205	0.513253	0.038228	0.028128	0.020401	0.015469	0.010968
8319-6104	1.23765820559013E+018	202.21716482	49.48260477	GALAXY	17.970825	16.356245	15.561849	15.149453	15.007545	1	1	1	1	1	0.039314	0.028927	0.02098	0.015909	0.01128
8243-6104	1.2376512525604E+018	131.8838043	53.9053115	GALAXY	17.311226	15.252545	14.378055	13.935686	13.6328	1	0.933151	0.965445	0.996717	1	0.135732	0.09987	0.072434	0.054925	0.038942
8439-6104	1.23765777124472E+018	143.5102966	50.02758555	GALAXY	16.793741	15.114226	14.437517	14.058989	13.836647	0.533282	0.595982	0.773139	0.895167	1	0.074152	0.054561	0.039572	0.030006	0.021275
8326-6104	1.23766230189854E+018	216.25614025	47.95348508	GALAXY	17.729912	15.700313	14.76919	14.328565	14.034536	1	1	1	1	1	0.099042	0.072874	0.052854	0.040078	0.028416
8117-6104	1.2376671117217E+018	139.65414012	23.26908471	STAR	21.156649	18.564829	17.243179	16.736973	16.439968	1	0	1	0	0.783958	0.29211	0.214932	0.155886	0.118204	0.083808
8602-6104	1.23765932656617E+018	247.57240175	39.88944353	GALAXY	16.784071	15.157292	14.428178	14.037478	13.780869	0.788664	0.711591	0.730238	0.807887	0.854187	0.05837	0.042948	0.031149	0.02362	0.016747
8588-6104	1.23765512876733E+018	250.6680186	40.16910287	GALAXY	17.458923	15.873153	15.073344	14.639976	14.146199	0.338927	0.371821	0.400373	0.46105	0.597521	0.048043	0.03535	0.025639	0.019441	0.013784
8615-6104	1.23767861740025E+018	319.90186702	0.70423665	GALAXY	17.013109	15.119135	14.227962	13.734521	13.509605	1	1	1	1	1	0.456739	0.336064	0.243742	0.184822	0.131041
7991-6104	1.23765121228767E+018	258.82735847	57.65886273	GALAXY	17.505745	15.769964	14.935528	14.472153	14.038682	0.460329	0.422038	0.440067	0.506297	0.541325	0.216077	0.158987	0.115311	0.087437	0.061994
7977-6104	1.23765294316401E+018	333.48531117	12.80647761	GALAXY	18.103996	16.510473	15.595695	15.144564	14.75323	1	0.869504	0.853808	0.898904	1	0.360194	0.265028	0.19222	0.145755	0.103342
7975-6104	1.23765624062011E+018	324.89156022	10.48348299	GALAXY	17.929705	16.563532	15.683793	15.24219	14.988894	0.513485	0.496015	0.673678	0.710422	0.777543	0.31485	0.231664	0.168022	0.127406	0.090332
7990-6104	1.23765989617323E+018	261.60762212	58.58891974	GALAXY	15.581359	15.215634	14.703706	14.421068	14.161537	1	0.768756	0.806388	0.786582	0.840348	0.17896	0.131677	0.095503	0.072417	0.051345
