# name	objID	ra	dec	type	cModelMag_u	cModelMag_g	cModelMag_r	cModelMag_i	cModelMag_z	fracDeV_u	fracDeV_g	fracDeV_r	fracDeV_i	fracDeV_z	extinction_u	extinction_g	extinction_r	extinction_i	extinction_z
8947-1901	1.23765785607065E+018	171.38368017	51.18051438	GALAXY	16.801664	15.625648	14.937288	14.534809	14.346167	0	0.005670525	0.230146	0.406631	0.451368	0.071401	0.052536	0.038103	0.028893	0.020485
8945-1901	1.23766135861445E+018	172.36572547	47.69629337	GALAXY	18.060419	16.583076	15.843477	15.489884	15.216178	0.983243	1	1	1	1	0.084043	0.061838	0.04485	0.034008	0.024112
8980-1901	1.23765820559753E+018	225.10418136	43.28701393	GALAXY	17.371841	15.460471	14.648834	14.206217	13.899423	0.704437	0.737932	0.75413	0.785588	0.809822	0.09153	0.067347	0.048845	0.037038	0.02626
8597-1901	1.23766141714281E+018	225.94174105	49.52588714	GALAXY	17.958025	16.735598	16.090376	15.740314	15.447146	0.431909	0.225679	0.219609	0.290729	0.337434	0.073411	0.054015	0.039176	0.029706	0.021062
9013-1901	1.23767126710603E+018	190.47364735	-2.80843522	STAR	16.684706	15.154874	14.591596	14.364048	14.272758	0	0	1	0	0	0.177409	0.130536	0.094675	0.071789	0.0509
8912-1901	1.2376648520315E+018	209.78446441	33.95532035	STAR	15.659197	14.194937	15.064711	14.919089	13.229435	0.981272	0.467759	0.744752	0.92854	0.820726	0.07866	0.057877	0.041977	0.03183	0.022568
9017-1901	1.2376517368523E+018	229.44265599	2.07714527	STAR	23.802498	23.97707	22.684326	21.295898	21.316988	1	1	1	0	1	0.207524	0.152695	0.110747	0.083976	0.05954
9009-1901	1.23764870299602E+018	250.89704267	-1.1414517	STAR	18.00407	17.399563	17.576696	17.7418	17.883568	1	0	1	1	1	0.831367	0.611712	0.443665	0.336417	0.238524
8968-1901	1.23767465475644E+018	222.5783936	-6.92775805	STAR	18.280649	17.172232	17.371187	17.520025	17.590425	1	0	0.943659	1	1	0.442757	0.325776	0.23628	0.179164	0.127029
8950-1901	1.23766744297492E+018	194.81945284	27.10614365	GALAXY	18.047871	16.765493	16.025618	15.606973	15.18283	0	0.154616	0.291245	0.426086	0.552155	0.058386	0.04296	0.031158	0.023626	0.016751
8931-1901	1.23766744297459E+018	194.01654955	27.15042764	GALAXY	18.516331	17.107924	16.3246	15.95416	15.695488	0.59112	0.504488	0.583759	0.606751	0.653241	0.037758	0.027782	0.02015	0.015279	0.010833
9029-1901	1.23765534835868E+018	246.66811166	42.02676058	GALAXY	19.106573	17.358532	16.635588	16.289911	15.869764	0.210837	0.466363	0.500219	0.504647	0.608741	0.04286	0.031536	0.022873	0.017344	0.012297
9042-1901	1.23766266160362E+018	233.18644357	28.06314196	GALAXY	19.423355	17.482279	16.565344	16.134504	15.852407	1	1	1	1	1	0.146201	0.107574	0.078021	0.059161	0.041946
9026-1901	1.23765125205334E+018	248.94558963	44.41558571	GALAXY	17.111113	15.413813	14.622994	14.227387	13.912398	0.733807	0.884962	0.908937	0.92838	0.88684	0.058336	0.042923	0.031131	0.023606	0.016737
9049-1901	1.237662336259E+018	247.56097809	26.20648097	GALAXY	18.241146	16.748945	15.883581	15.489018	15.243147	1	1	1	1	1	0.252375	0.185695	0.134682	0.102125	0.072408
9002-1901	1.23766485311056E+018	223.61232858	30.90848556	GALAXY	17.912537	16.354643	15.593345	15.246509	15.00513	1	1	1	1	1	0.102666	0.075541	0.054788	0.041544	0.029456
8613-1901	1.23765537411334E+018	253.67734639	34.72864156	GALAXY	17.978958	16.313171	15.571847	15.216333	14.94672	1	1	1	1	1	0.085699	0.063056	0.045734	0.034679	0.024588
9041-1901	1.23766233947341E+018	234.24503182	29.80890656	GALAXY	17.23518	15.464854	14.628981	14.204746	13.835952	0.932931	0.921743	0.872799	0.873272	0.892122	0.116321	0.085588	0.062075	0.04707	0.033373
8553-1901	1.23765494944845E+018	233.96830178	57.90268584	GALAXY	15.348209	15.039183	14.629572	14.405902	14.346453	0.040703	0.747347	1	1	1	0.074462	0.054788	0.039737	0.030131	0.021363
7443-1902	1.23766230351439E+018	231.99110288	42.97119545	GALAXY	17.656107	16.209171	15.539094	15.213305	14.968895	0.469253	0.516321	0.522256	0.476627	0.437399	0.155144	0.114154	0.082794	0.06278	0.044512
7444-1902	1.23766533146267E+018	184.25089543	33.51736325	STAR	17.113966	16.230959	15.921117	15.837461	15.802032	0	0	1	1	0	0.06834	0.050284	0.03647	0.027654	0.019607
7495-1902	1.23766553278199E+018	205.04476635	26.841059	GALAXY	18.910311	17.344139	16.626625	16.212284	15.996722	0.494095	0.60568	0.648813	0.685101	0.673364	0.046695	0.034358	0.024919	0.018895	0.013397
7815-1902	1.23765294476775E+018	317.43009738	11.35526558	GALAXY	18.433981	16.668598	15.941528	15.523168	15.2729	0.155315	0.182373	0.148779	0.166724	0.170441	0.504408	0.371138	0.26918	0.204111	0.144717
8115-1902	1.23767126173496E+018	132.03450805	11.023814	STAR	18.016962	15.818035	14.966786	15.29039	14.550283	1	0	0.512408	1	0	0.175591	0.129198	0.093705	0.071054	0.050378
8112-1902	1.23766850489713E+018	230.34225433	66.76154805	STAR	17.530615	16.376787	16.000645	15.846963	15.804621	0	1	1	1	0	0.139359	0.102539	0.07437	0.056392	0.039983
8120-1902	1.23766410685514E+018	156.23284028	13.9278641	STAR	17.162521	15.983249	15.574845	15.418674	15.380968	1	0	0	0	1	0.229895	0.169155	0.122685	0.093028	0.065958
8098-1902	1.2376619679704E+018	195.56379419	42.6471095	STAR	19.765512	18.784851	18.459187	18.323244	18.288157	0	1	1	0	1	0.093208	0.068582	0.049741	0.037717	0.026742
8266-1902	1.23764870512424E+018	206.86047442	0.51307239	STAR	18.911037	17.730326	17.282393	17.132574	17.075882	0	0	1	1	0	0.150763	0.11093	0.080456	0.061007	0.043255
8116-1902	1.23767059547816E+018	132.56755707	12.32618546	STAR	15.832877	14.540245	14.132187	13.996312	13.983674	1	1	0.558298	0	1	0.139535	0.102669	0.074464	0.056464	0.040033
8269-1902	1.23766181548661E+018	192.63942841	11.26801356	STAR	16.411921	15.096447	14.637287	14.468084	14.433677	0	0	0	0.965215	0	0.187934	0.13828	0.100292	0.076048	0.053919
8264-1902	1.23766219345566E+018	193.68514898	41.26959547	STAR	18.278027	16.651079	16.046225	15.85769	15.696971	0	0	0	0	1	0.060312	0.044377	0.032186	0.024406	0.017304
8341-1902	1.23766187240522E+018	190.27981059	44.6699137	GALAXY	18.133635	16.831942	16.412724	16.127342	16.218241	0.189955	0.243731	0.250302	0.272163	0.198239	0.090657	0.066704	0.048379	0.036685	0.02601
8329-1902	1.23765820398358E+018	214.72939944	45.35667146	GALAXY	18.042391	16.266991	15.593987	15.228913	14.953624	0.798225	0.911702	0.917097	0.959984	1	0.033492	0.024643	0.017873	0.013553	0.009609163
8319-1902	1.2376614359232E+018	199.38176712	47.67665604	GALAXY	17.307653	15.589164	14.794241	14.400112	14.187625	1	1	1	1	1	0.043088	0.031704	0.022994	0.017436	0.012362
8243-1902	1.23765125256046E+018	132.10360202	53.91879244	GALAXY	18.813089	16.95295	16.086246	15.667897	15.334073	0.919307	1	1	1	1	0.135148	0.09944	0.072123	0.054688	0.038775
8439-1902	1.23765763272547E+018	143.69696011	48.74769579	GALAXY	18.259113	16.601536	15.895473	15.491769	15.218558	0.619023	0.84313	0.824695	0.833193	0.811104	0.125516	0.092354	0.066983	0.050791	0.036011
